State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
Delhi/NCR,Tier 2 city,Apparel / Fashion,1 store,5000–10000,POS or billing software,Combination of methods,Rarely,Occasionally,20–30%,4–10 suppliers,Same day,Apparel / clothing,Regular repeat customers,Difficult to predict,Sometimes,Saree + blouse,Less than 1 year,Operations manager,Neutral,Supplier performance insights,₹5–10 lakh,₹7000–₹15000,Lower inventory cost,Very likely
Other,Tier 1 city,Pharmacy / Medical Store,2–5 stores,2000–5000,Excel / spreadsheets,Supplier recommendations,Rarely,Rarely,10–20%,1–3 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Slight increase,Yes frequently,Medicines + health supplements,1–3 years,Store owner,Very comfortable,Demand forecasting,₹10–50 lakh,₹7000–₹15000,Increased revenue,Maybe
Rajasthan,Rural,Grocery / Supermarket,1 store,5000–10000,Excel / spreadsheets,Past experience / intuition,Daily,Occasionally,10–20%,10–20 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,No change,Yes frequently,Snacks + beverages,More than 3 years,Store owner,Neutral,Automatic reorder suggestions,₹5–10 lakh,₹7000–₹15000,Better supplier management,Definitely not
Other,Tier 2 city,Grocery / Supermarket,2–5 stores,Less than 500,POS or billing software,Supplier recommendations,Rarely,Occasionally,5–10%,More than 20 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,No change,Never,Rice + cooking oil,No digital data,Operations manager,Not comfortable,Demand forecasting,₹10–50 lakh,₹3000–₹7000,Reduced stockouts,Maybe
Rajasthan,Tier 2 city,Beauty / Cosmetics,1 store,500–2000,ERP or inventory management software,Past experience / intuition,Monthly,Rarely,10–20%,4–10 suppliers,3–5 days,Beauty / cosmetics,Seasonal weather,Increases significantly,Rarely,Shampoo + conditioner,1–3 years,Store owner,Very comfortable,Demand forecasting,₹10–50 lakh,₹7000–₹15000,Increased revenue,Definitely not
Tamil Nadu,Tier 3 city / small town,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Sales reports / historical data,Monthly,Rarely,Less than 5%,10–20 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Yes frequently,Snacks + beverages,More than 3 years,Head office / franchise owner,Neutral,Promotion demand prediction,₹1–5 lakh,₹7000–₹15000,Reduced stockouts,Likely
Karnataka,Tier 1 city,Grocery / Supermarket,1 store,2000–5000,Excel / spreadsheets,Sales reports / historical data,Weekly,Occasionally,Less than 5%,10–20 suppliers,1–2 days,FMCG / grocery items,Seasonal weather,Difficult to predict,Rarely,Snacks + beverages,1–3 years,Head office / franchise owner,Not comfortable,Demand forecasting,₹5–10 lakh,₹1000–₹3000,Better supplier management,Maybe
Telangana,Tier 3 city / small town,Apparel / Fashion,1 store,500–2000,Excel / spreadsheets,Sales reports / historical data,Rarely,Rarely,10–20%,1–3 suppliers,1–2 days,Apparel / clothing,Regular repeat customers,Slight increase,Yes frequently,Saree + blouse,More than 3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,Less than ₹1000,Increased revenue,Unlikely
Maharashtra,Tier 3 city / small town,Grocery / Supermarket,6–10 stores,5000–10000,Manual notebook / paper records,Supplier recommendations,Rarely,Rarely,20–30%,4–10 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Difficult to predict,Sometimes,Snacks + beverages,1–3 years,Store owner,Very comfortable,Automatic reorder suggestions,₹10–50 lakh,₹3000–₹7000,Reduced stockouts,Very likely
Tamil Nadu,Tier 1 city,Beauty / Cosmetics,2–5 stores,More than 10000,Excel / spreadsheets,Past experience / intuition,Rarely,Occasionally,Less than 5%,10–20 suppliers,1–2 days,Beauty / cosmetics,Social media trends,Increases significantly,Sometimes,Shampoo + conditioner,1–3 years,Operations manager,Very comfortable,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Maybe
Tamil Nadu,Tier 3 city / small town,Beauty / Cosmetics,2–5 stores,Less than 500,POS or billing software,Past experience / intuition,Monthly,Rarely,5–10%,10–20 suppliers,Highly variable,Beauty / cosmetics,Regular repeat customers,Difficult to predict,Rarely,Other,1–3 years,IT team,Somewhat comfortable,Inventory alerts,More than ₹50 lakh,₹3000–₹7000,Increased revenue,Maybe
Maharashtra,Tier 2 city,Pharmacy / Medical Store,11–25 stores,500–2000,Combination of multiple tools,Supplier recommendations,Daily,Occasionally,10–20%,10–20 suppliers,3–5 days,Medicines / healthcare products,Promotions / discounts,Slight increase,Never,Other,Less than 1 year,Store owner,Neutral,Inventory alerts,₹5–10 lakh,Less than ₹1000,Lower inventory cost,Maybe
West Bengal,Tier 1 city,Grocery / Supermarket,1 store,2000–5000,Manual notebook / paper records,Sales reports / historical data,Monthly,Very frequently,10–20%,1–3 suppliers,Highly variable,FMCG / grocery items,Social media trends,Slight increase,Rarely,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹5–10 lakh,Less than ₹1000,Automated purchasing,Very likely
Delhi/NCR,Tier 3 city / small town,Electronics,11–25 stores,Less than 500,Excel / spreadsheets,Supplier recommendations,Weekly,Rarely,Less than 5%,4–10 suppliers,Highly variable,Electronics,Social media trends,Slight increase,Never,Other,No digital data,Store owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,More than ₹15000,Reduced stockouts,Definitely not
Karnataka,Tier 2 city,Apparel / Fashion,1 store,2000–5000,Excel / spreadsheets,Combination of methods,Monthly,Rarely,5–10%,4–10 suppliers,3–5 days,Apparel / clothing,Social media trends,Slight increase,Rarely,Saree + blouse,No digital data,Head office / franchise owner,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Maybe
Uttar Pradesh,Tier 1 city,Apparel / Fashion,1 store,Less than 500,Excel / spreadsheets,Combination of methods,Rarely,Very frequently,10–20%,1–3 suppliers,1–2 days,Apparel / clothing,Festivals,Difficult to predict,Sometimes,Saree + blouse,1–3 years,Store owner,Neutral,Promotion demand prediction,More than ₹50 lakh,₹1000–₹3000,Reduced stockouts,Likely
Other,Tier 2 city,Electronics,1 store,2000–5000,POS or billing software,Past experience / intuition,Rarely,Rarely,5–10%,4–10 suppliers,3–5 days,Electronics,Promotions / discounts,Increases significantly,Sometimes,Other,1–3 years,Distributor recommendation,Somewhat comfortable,Demand forecasting,₹1–5 lakh,More than ₹15000,Increased revenue,Likely
Gujarat,Tier 1 city,Beauty / Cosmetics,2–5 stores,500–2000,Manual notebook / paper records,Sales reports / historical data,Almost never,Occasionally,20–30%,4–10 suppliers,3–5 days,Beauty / cosmetics,Seasonal weather,Difficult to predict,Yes frequently,Shampoo + conditioner,Less than 1 year,Store owner,Somewhat comfortable,Inventory alerts,₹5–10 lakh,₹3000–₹7000,Increased revenue,Maybe
West Bengal,Tier 1 city,Grocery / Supermarket,1 store,500–2000,ERP or inventory management software,Combination of methods,Monthly,Occasionally,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Snacks + beverages,More than 3 years,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹7000–₹15000,Reduced stockouts,Maybe
Maharashtra,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,POS or billing software,Sales reports / historical data,Monthly,Occasionally,10–20%,10–20 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Sometimes,Snacks + beverages,1–3 years,Store owner,Somewhat comfortable,Demand forecasting,Less than ₹1 lakh,₹7000–₹15000,Lower inventory cost,Likely
West Bengal,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,POS or billing software,Sales reports / historical data,Rarely,Occasionally,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Increases significantly,Never,Rice + cooking oil,1–3 years,Distributor recommendation,Neutral,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Increased revenue,Likely
Karnataka,Tier 1 city,Grocery / Supermarket,2–5 stores,500–2000,Excel / spreadsheets,Supplier recommendations,Almost never,Rarely,10–20%,1–3 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Difficult to predict,Sometimes,Snacks + beverages,Less than 1 year,Distributor recommendation,Somewhat comfortable,Inventory alerts,Less than ₹1 lakh,Less than ₹1000,Reduced stockouts,Definitely not
Other,Tier 3 city / small town,Apparel / Fashion,1 store,Less than 500,Manual notebook / paper records,Combination of methods,Almost never,Rarely,More than 30%,4–10 suppliers,1 week,Apparel / clothing,Seasonal weather,No change,Sometimes,Other,1–3 years,Store owner,Neutral,Automatic reorder suggestions,₹10–50 lakh,More than ₹15000,Increased revenue,Definitely not
Other,Tier 1 city,Pharmacy / Medical Store,2–5 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Rarely,Rarely,20–30%,4–10 suppliers,1–2 days,Medicines / healthcare products,Promotions / discounts,Slight increase,Sometimes,Other,1–3 years,Operations manager,Not comfortable,Supplier performance insights,₹1–5 lakh,₹1000–₹3000,Better supplier management,Likely
Delhi/NCR,Tier 1 city,Pharmacy / Medical Store,6–10 stores,2000–5000,POS or billing software,Supplier recommendations,Almost never,Never,5–10%,4–10 suppliers,Highly variable,Medicines / healthcare products,Festivals,Slight increase,Never,Medicines + health supplements,1–3 years,Distributor recommendation,Neutral,Automatic reorder suggestions,₹5–10 lakh,₹1000–₹3000,Lower inventory cost,Likely
Rajasthan,Tier 2 city,Pharmacy / Medical Store,1 store,500–2000,Excel / spreadsheets,Past experience / intuition,Almost never,Never,Less than 5%,1–3 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Slight increase,Sometimes,Other,1–3 years,Distributor recommendation,Somewhat comfortable,Automatic reorder suggestions,Less than ₹1 lakh,More than ₹15000,Increased revenue,Definitely not
Uttar Pradesh,Tier 3 city / small town,General Store / Kirana,6–10 stores,Less than 500,POS or billing software,Past experience / intuition,Rarely,Occasionally,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Festivals,Increases significantly,Rarely,Snacks + beverages,More than 3 years,Operations manager,Somewhat comfortable,Demand forecasting,₹10–50 lakh,₹7000–₹15000,Increased revenue,Maybe
Uttar Pradesh,Tier 1 city,Pharmacy / Medical Store,2–5 stores,500–2000,POS or billing software,Sales reports / historical data,Weekly,Very frequently,10–20%,4–10 suppliers,3–5 days,Medicines / healthcare products,Promotions / discounts,Increases significantly,Yes frequently,Medicines + health supplements,1–3 years,Operations manager,Neutral,Inventory alerts,Less than ₹1 lakh,Less than ₹1000,Automated purchasing,Likely
Gujarat,Tier 2 city,Pharmacy / Medical Store,1 store,Less than 500,Combination of multiple tools,Combination of methods,Rarely,Occasionally,Less than 5%,10–20 suppliers,1–2 days,Medicines / healthcare products,Seasonal weather,Difficult to predict,Yes frequently,Medicines + health supplements,More than 3 years,Head office / franchise owner,Not comfortable,Promotion demand prediction,₹5–10 lakh,₹1000–₹3000,Lower inventory cost,Very likely
Rajasthan,Tier 3 city / small town,Electronics,11–25 stores,Less than 500,Combination of multiple tools,Combination of methods,Daily,Rarely,10–20%,10–20 suppliers,1–2 days,Electronics,Promotions / discounts,Slight increase,Sometimes,Other,More than 3 years,Operations manager,Not comfortable,Automatic reorder suggestions,₹10–50 lakh,₹3000–₹7000,Reduced stockouts,Definitely not
West Bengal,Tier 3 city / small town,Grocery / Supermarket,2–5 stores,500–2000,POS or billing software,Past experience / intuition,Weekly,Never,10–20%,1–3 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,No change,Yes frequently,Rice + cooking oil,More than 3 years,Store owner,Neutral,Promotion demand prediction,₹5–10 lakh,₹7000–₹15000,Reduced stockouts,Likely
Rajasthan,Tier 1 city,Grocery / Supermarket,2–5 stores,Less than 500,Excel / spreadsheets,Past experience / intuition,Almost never,Occasionally,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Seasonal weather,Increases significantly,Sometimes,Snacks + beverages,More than 3 years,Head office / franchise owner,Neutral,Demand forecasting,₹10–50 lakh,Less than ₹1000,Reduced stockouts,Very likely
Gujarat,Tier 1 city,Apparel / Fashion,1 store,2000–5000,Combination of multiple tools,Past experience / intuition,Weekly,Rarely,5–10%,4–10 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,Increases significantly,Sometimes,Saree + blouse,No digital data,Store owner,Neutral,Promotion demand prediction,Less than ₹1 lakh,More than ₹15000,Reduced stockouts,Likely
Gujarat,Tier 3 city / small town,General Store / Kirana,1 store,500–2000,Excel / spreadsheets,Sales reports / historical data,Monthly,Rarely,10–20%,10–20 suppliers,Highly variable,FMCG / grocery items,Regular repeat customers,Increases significantly,Rarely,Other,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,₹5–10 lakh,Less than ₹1000,Reduced stockouts,Maybe
Uttar Pradesh,Tier 2 city,Grocery / Supermarket,6–10 stores,500–2000,POS or billing software,Sales reports / historical data,Rarely,Rarely,Less than 5%,10–20 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Rice + cooking oil,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,₹10–50 lakh,₹3000–₹7000,Better supplier management,Maybe
Tamil Nadu,Tier 3 city / small town,Apparel / Fashion,2–5 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Weekly,Occasionally,10–20%,4–10 suppliers,3–5 days,Apparel / clothing,Festivals,Increases significantly,Sometimes,Other,Less than 1 year,Head office / franchise owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,More than ₹15000,Increased revenue,Likely
Other,Tier 2 city,Apparel / Fashion,2–5 stores,2000–5000,ERP or inventory management software,Sales reports / historical data,Weekly,Rarely,5–10%,4–10 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,No change,Sometimes,Saree + blouse,More than 3 years,IT team,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,Less than ₹1000,Reduced stockouts,Likely
West Bengal,Tier 1 city,Grocery / Supermarket,6–10 stores,500–2000,Combination of multiple tools,Combination of methods,Rarely,Rarely,20–30%,4–10 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Increases significantly,Rarely,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Better supplier management,Very likely
Delhi/NCR,Tier 1 city,General Store / Kirana,2–5 stores,500–2000,Manual notebook / paper records,Past experience / intuition,Monthly,Rarely,10–20%,More than 20 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Sometimes,Rice + cooking oil,No digital data,Store owner,Neutral,Demand forecasting,₹1–5 lakh,Less than ₹1000,Increased revenue,Maybe
Karnataka,Tier 3 city / small town,Beauty / Cosmetics,1 store,500–2000,POS or billing software,Past experience / intuition,Weekly,Occasionally,10–20%,10–20 suppliers,1–2 days,Beauty / cosmetics,Seasonal weather,Slight increase,Sometimes,Shampoo + conditioner,Less than 1 year,Store owner,Not comfortable,Supplier performance insights,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Very likely
Other,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,Combination of multiple tools,Sales reports / historical data,Rarely,Rarely,More than 30%,10–20 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Sometimes,Rice + cooking oil,More than 3 years,Head office / franchise owner,Not comfortable,Inventory alerts,₹5–10 lakh,₹3000–₹7000,Increased revenue,Likely
Rajasthan,Tier 2 city,Pharmacy / Medical Store,1 store,500–2000,Combination of multiple tools,Combination of methods,Monthly,Rarely,5–10%,10–20 suppliers,1–2 days,Medicines / healthcare products,Festivals,Difficult to predict,Yes frequently,Medicines + health supplements,1–3 years,Store owner,Not comfortable,Demand forecasting,Less than ₹1 lakh,More than ₹15000,Reduced stockouts,Likely
Rajasthan,Tier 2 city,Grocery / Supermarket,2–5 stores,500–2000,POS or billing software,Past experience / intuition,Weekly,Occasionally,10–20%,4–10 suppliers,Highly variable,FMCG / grocery items,Festivals,Slight increase,Yes frequently,Snacks + beverages,More than 3 years,Store owner,Not comfortable,Inventory alerts,₹5–10 lakh,₹1000–₹3000,Reduced stockouts,Unlikely
Karnataka,Tier 2 city,Beauty / Cosmetics,1 store,5000–10000,Combination of multiple tools,Supplier recommendations,Rarely,Occasionally,5–10%,4–10 suppliers,Same day,Beauty / cosmetics,Festivals,Slight increase,Never,Other,No digital data,Store owner,Neutral,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Better supplier management,Unlikely
Other,Tier 2 city,Apparel / Fashion,2–5 stores,5000–10000,POS or billing software,Combination of methods,Monthly,Rarely,10–20%,4–10 suppliers,3–5 days,Apparel / clothing,Festivals,Difficult to predict,Sometimes,Saree + blouse,Less than 1 year,IT team,Somewhat comfortable,Supplier performance insights,Less than ₹1 lakh,More than ₹15000,Lower inventory cost,Definitely not
Tamil Nadu,Tier 1 city,Apparel / Fashion,6–10 stores,5000–10000,Excel / spreadsheets,Past experience / intuition,Monthly,Occasionally,5–10%,4–10 suppliers,3–5 days,Apparel / clothing,Seasonal weather,Slight increase,Yes frequently,Other,More than 3 years,Store owner,Neutral,Supplier performance insights,₹10–50 lakh,₹1000–₹3000,Automated purchasing,Likely
Rajasthan,Tier 1 city,General Store / Kirana,1 store,More than 10000,Combination of multiple tools,Combination of methods,Weekly,Rarely,5–10%,4–10 suppliers,1–2 days,FMCG / grocery items,Festivals,Difficult to predict,Sometimes,Other,1–3 years,Store owner,Not comfortable,Promotion demand prediction,More than ₹50 lakh,₹1000–₹3000,Automated purchasing,Unlikely
Rajasthan,Tier 2 city,Pharmacy / Medical Store,1 store,500–2000,POS or billing software,Sales reports / historical data,Rarely,Occasionally,5–10%,4–10 suppliers,1 week,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Sometimes,Medicines + health supplements,Less than 1 year,IT team,Not comfortable,Promotion demand prediction,₹1–5 lakh,₹7000–₹15000,Reduced stockouts,Very likely
Tamil Nadu,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,POS or billing software,Past experience / intuition,Daily,Occasionally,5–10%,1–3 suppliers,1–2 days,FMCG / grocery items,Festivals,No change,Rarely,Snacks + beverages,Less than 1 year,Operations manager,Somewhat comfortable,Demand forecasting,₹10–50 lakh,Less than ₹1000,Lower inventory cost,Maybe
West Bengal,Tier 1 city,Grocery / Supermarket,1 store,5000–10000,Excel / spreadsheets,Past experience / intuition,Monthly,Very frequently,20–30%,1–3 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Difficult to predict,Sometimes,Rice + cooking oil,Less than 1 year,Operations manager,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,₹1000–₹3000,Better supplier management,Maybe
Karnataka,Tier 3 city / small town,Electronics,6–10 stores,5000–10000,ERP or inventory management software,Sales reports / historical data,Rarely,Rarely,10–20%,4–10 suppliers,3–5 days,Electronics,Regular repeat customers,Increases significantly,Sometimes,Other,1–3 years,Head office / franchise owner,Not comfortable,Demand forecasting,₹5–10 lakh,₹1000–₹3000,Reduced stockouts,Unlikely
Rajasthan,Tier 3 city / small town,Electronics,11–25 stores,2000–5000,Manual notebook / paper records,Sales reports / historical data,Rarely,Rarely,10–20%,10–20 suppliers,1 week,Electronics,Festivals,Slight increase,Sometimes,Other,More than 3 years,Store owner,Neutral,Demand forecasting,₹5–10 lakh,₹3000–₹7000,Lower inventory cost,Likely
West Bengal,Tier 1 city,Grocery / Supermarket,1 store,500–2000,Manual notebook / paper records,Sales reports / historical data,Monthly,Rarely,More than 30%,More than 20 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,No change,Sometimes,Other,More than 3 years,Operations manager,Very comfortable,Demand forecasting,₹1–5 lakh,Less than ₹1000,Better supplier management,Likely
Delhi/NCR,Tier 2 city,Apparel / Fashion,2–5 stores,Less than 500,Combination of multiple tools,Software analytics,Weekly,Rarely,10–20%,10–20 suppliers,1–2 days,Apparel / clothing,Promotions / discounts,Slight increase,Sometimes,Saree + blouse,1–3 years,Store owner,Somewhat comfortable,Promotion demand prediction,More than ₹50 lakh,₹1000–₹3000,Lower inventory cost,Maybe
Karnataka,Tier 3 city / small town,Pharmacy / Medical Store,1 store,2000–5000,POS or billing software,Supplier recommendations,Rarely,Occasionally,Less than 5%,4–10 suppliers,3–5 days,Medicines / healthcare products,Social media trends,Slight increase,Sometimes,Medicines + health supplements,Less than 1 year,Store owner,Not comfortable,Demand forecasting,₹5–10 lakh,Less than ₹1000,Automated purchasing,Unlikely
Karnataka,Tier 3 city / small town,Grocery / Supermarket,1 store,2000–5000,Excel / spreadsheets,Combination of methods,Rarely,Occasionally,10–20%,4–10 suppliers,Highly variable,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Rice + cooking oil,1–3 years,IT team,Somewhat comfortable,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Lower inventory cost,Maybe
Delhi/NCR,Tier 1 city,General Store / Kirana,1 store,5000–10000,Excel / spreadsheets,Past experience / intuition,Weekly,Occasionally,10–20%,1–3 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Increases significantly,Sometimes,Rice + cooking oil,1–3 years,Store owner,Not comfortable,Demand forecasting,₹5–10 lakh,₹1000–₹3000,Automated purchasing,Unlikely
Maharashtra,Rural,Apparel / Fashion,2–5 stores,2000–5000,POS or billing software,Combination of methods,Weekly,Occasionally,Less than 5%,4–10 suppliers,1–2 days,Apparel / clothing,Promotions / discounts,Difficult to predict,Yes frequently,Saree + blouse,No digital data,Operations manager,Somewhat comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹7000–₹15000,Lower inventory cost,Unlikely
Gujarat,Tier 3 city / small town,Grocery / Supermarket,11–25 stores,2000–5000,POS or billing software,Software analytics,Monthly,Very frequently,5–10%,4–10 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,No change,Rarely,Rice + cooking oil,More than 3 years,Operations manager,Somewhat comfortable,Inventory alerts,₹5–10 lakh,₹1000–₹3000,Lower inventory cost,Likely
Rajasthan,Tier 1 city,Electronics,6–10 stores,Less than 500,POS or billing software,Supplier recommendations,Rarely,Rarely,More than 30%,4–10 suppliers,1–2 days,Electronics,Seasonal weather,Slight increase,Rarely,Other,Less than 1 year,Distributor recommendation,Somewhat comfortable,Demand forecasting,₹10–50 lakh,₹7000–₹15000,Automated purchasing,Likely
Telangana,Tier 2 city,General Store / Kirana,1 store,2000–5000,Excel / spreadsheets,Supplier recommendations,Rarely,Very frequently,10–20%,10–20 suppliers,1–2 days,FMCG / grocery items,Seasonal weather,Increases significantly,Sometimes,Rice + cooking oil,More than 3 years,Head office / franchise owner,Somewhat comfortable,Automatic reorder suggestions,Less than ₹1 lakh,Less than ₹1000,Reduced stockouts,Unlikely
Gujarat,Tier 3 city / small town,Pharmacy / Medical Store,6–10 stores,5000–10000,Excel / spreadsheets,Supplier recommendations,Weekly,Occasionally,10–20%,More than 20 suppliers,3–5 days,Medicines / healthcare products,Promotions / discounts,Increases significantly,Sometimes,Medicines + health supplements,Less than 1 year,Store owner,Not comfortable,Demand forecasting,₹10–50 lakh,₹1000–₹3000,Lower inventory cost,Maybe
Rajasthan,Tier 2 city,General Store / Kirana,1 store,Less than 500,POS or billing software,Past experience / intuition,Rarely,Occasionally,More than 30%,10–20 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Yes frequently,Rice + cooking oil,1–3 years,Head office / franchise owner,Not comfortable,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Automated purchasing,Likely
Delhi/NCR,Tier 3 city / small town,Pharmacy / Medical Store,11–25 stores,Less than 500,Combination of multiple tools,Combination of methods,Rarely,Occasionally,5–10%,4–10 suppliers,1–2 days,Medicines / healthcare products,Festivals,Increases significantly,Sometimes,Other,No digital data,Store owner,Neutral,Inventory alerts,₹1–5 lakh,Less than ₹1000,Lower inventory cost,Very likely
Delhi/NCR,Tier 1 city,Grocery / Supermarket,1 store,2000–5000,POS or billing software,Supplier recommendations,Almost never,Rarely,10–20%,4–10 suppliers,Same day,FMCG / grocery items,Promotions / discounts,Slight increase,Never,Rice + cooking oil,More than 3 years,Store owner,Somewhat comfortable,Promotion demand prediction,₹10–50 lakh,Less than ₹1000,Automated purchasing,Very likely
Uttar Pradesh,Tier 1 city,General Store / Kirana,6–10 stores,Less than 500,POS or billing software,Past experience / intuition,Rarely,Occasionally,10–20%,10–20 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Slight increase,Sometimes,Rice + cooking oil,More than 3 years,Head office / franchise owner,Very comfortable,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Lower inventory cost,Unlikely
Rajasthan,Tier 2 city,Grocery / Supermarket,2–5 stores,Less than 500,Manual notebook / paper records,Past experience / intuition,Monthly,Rarely,10–20%,1–3 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Yes frequently,Snacks + beverages,More than 3 years,Operations manager,Neutral,Inventory alerts,₹1–5 lakh,Less than ₹1000,Reduced stockouts,Likely
Other,Tier 2 city,Grocery / Supermarket,2–5 stores,Less than 500,Combination of multiple tools,Past experience / intuition,Rarely,Occasionally,20–30%,10–20 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Sometimes,Snacks + beverages,No digital data,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹1–5 lakh,₹3000–₹7000,Better supplier management,Very likely
Tamil Nadu,Tier 1 city,General Store / Kirana,11–25 stores,Less than 500,Manual notebook / paper records,Sales reports / historical data,Weekly,Occasionally,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Sometimes,Rice + cooking oil,1–3 years,Store owner,Not comfortable,Inventory alerts,₹10–50 lakh,₹1000–₹3000,Reduced stockouts,Unlikely
West Bengal,Tier 2 city,Beauty / Cosmetics,2–5 stores,2000–5000,Combination of multiple tools,Software analytics,Rarely,Rarely,10–20%,1–3 suppliers,3–5 days,Beauty / cosmetics,Promotions / discounts,Slight increase,Sometimes,Shampoo + conditioner,More than 3 years,Head office / franchise owner,Neutral,Supplier performance insights,₹10–50 lakh,₹7000–₹15000,Automated purchasing,Maybe
Tamil Nadu,Tier 1 city,Electronics,1 store,500–2000,Excel / spreadsheets,Software analytics,Rarely,Very frequently,Less than 5%,10–20 suppliers,1–2 days,Electronics,Regular repeat customers,Difficult to predict,Sometimes,Other,No digital data,IT team,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,₹7000–₹15000,Automated purchasing,Unlikely
Maharashtra,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,Combination of multiple tools,Past experience / intuition,Rarely,Rarely,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Festivals,Slight increase,Yes frequently,Other,1–3 years,Operations manager,Somewhat comfortable,Inventory alerts,₹10–50 lakh,₹1000–₹3000,Better supplier management,Definitely not
Gujarat,Tier 2 city,Grocery / Supermarket,1 store,500–2000,POS or billing software,Past experience / intuition,Daily,Rarely,Less than 5%,4–10 suppliers,3–5 days,FMCG / grocery items,Social media trends,Slight increase,Never,Snacks + beverages,1–3 years,Store owner,Very comfortable,Demand forecasting,₹1–5 lakh,More than ₹15000,Lower inventory cost,Maybe
